,rank,name,net_worth (in billion $),age,country / territory,source,industry
2000,1905,Jim Koch,1.5,73.0,United States,Beer,Food & Beverage
2001,1905,Bruce Mathieson,1.5,79.0,Australia,Hotels,Real Estate
2002,1905,Duke Reyes,1.5,66.0,United States,Beer distribution,Food & Beverage
2003,1905,Sergei Studennikov & family,1.5,56.0,Russia,"Liquor stores, supermarkets",Fashion & Retail
2004,1905,Tingdong Yang,1.5,62.0,China,Brewery,Food & Beverage
2005,1905,Saket Burman,1.5,46.0,United Kingdom,Consumer goods,Food & Beverage
2006,1905,Esther Grether,1.5,87.0,Switzerland,Art collection,Fashion & Retail
2007,1905,Sidney Kimmel,1.5,95.0,United States,Retail,Fashion & Retail
2008,1905,Youssef Mansour,1.5,77.0,Egypt,Diversified,Diversified
2009,1905,Mike Repole,1.5,55.0,United States,Sports drink,Food & Beverage
2010,1905,Thomas Steyer,1.5,65.0,United States,Hedge funds,Finance & Investments
2011,1905,Xu Zhihan,1.5,50.0,China,Electronics,Technology
2012,1905,Safra Catz,1.5,61.0,United States,Software,Technology
2013,1905,Patrick Hanrahan,1.5,67.0,United States,Software,Technology
2014,1905,Raj Kumar,1.5,68.0,Singapore,"Real estate, hotels",Real Estate
2015,1905,Romano Minozzi,1.5,88.0,Italy,"Utilities, diversified",Diversified
2016,1905,Kishin RK,1.5,39.0,Singapore,"Real estate, hotels",Real Estate
2017,1905,Su Suyu & family,1.5,74.0,China,"Utilities, real estate",Real Estate
2018,1905,Michael Minhong Yu,1.5,61.0,China,Education,Service
2019,2020,Chen Wenyuan & family,1.4,55.0,China,Testing equipment,Technology
2020,2020,Christoph Henkel,1.4,65.0,Germany,Consumer goods,Fashion & Retail
2021,2020,Kwek Leng Keow,1.4,71.0,Singapore,Diversified,Diversified
2022,2020,Lucia Maggi & family,1.4,90.0,Brazil,Agribusiness,Diversified
2023,2020,David Paul,1.4,56.0,United States,Medical devices,Healthcare
2024,2020,Jared Smith,1.4,48.0,United States,Cloud computing,Technology
2025,2020,Swift Xie,1.4,43.0,China,Drones,Technology
2026,2020,Chua Thian Poh,1.4,74.0,Singapore,Real estate,Real Estate
2027,2020,Daniel Hirschfeld,1.4,81.0,United States,Fashion retail,Fashion & Retail
2028,2020,Kwek Leng Peck,1.4,67.0,Singapore,Diversified,Diversified
2029,2020,Gary Magness,1.4,69.0,United States,"Cable TV, investments",Media & Entertainment
2030,2020,Tom Persson,1.4,38.0,Sweden,H&M,Fashion & Retail
2031,2020,Charlotte Soderstrom,1.4,46.0,Sweden,H&M,Fashion & Retail
2032,2020,Xu Guozhong & family,1.4,59.0,China,Motors,Manufacturing
2033,2020,Sasson Dayan & family,1.4,83.0,Brazil,Banking,Finance & Investments
2034,2020,Drew Houston,1.4,40.0,United States,Cloud storage service,Technology
2035,2020,Raymond Kwok,1.4,69.0,Hong Kong,Real estate,Real Estate
2036,2020,Mao Lixiang & family,1.4,82.0,China,Cooking appliances,Technology
2037,2020,Qian Jinghong,1.4,50.0,China,Electric scooters,Automotive
2038,2020,Anand Surana,1.4,52.0,India,Pharmaceuticals,Healthcare
2039,2020,Yao Kuizhang,1.4,58.0,China,Beverages,Food & Beverage
2040,2020,Vladimir Bogdanov,1.4,71.0,Russia,Oil,Energy
2041,2020,Torstein Hagen,1.4,80.0,Norway,Cruises,Service
2042,2020,Kwee Liong Keng,1.4,77.0,Singapore,Real estate,Real Estate
2043,2020,K.C. Liu,1.4,69.0,Taiwan,Manufacturing,Technology
2044,2020,Niti Osathanugrah,1.4,49.0,Thailand,"Energy drinks,investments",Finance & Investments
2045,2020,Martin Selig,1.4,85.0,United States,Real estate,Real Estate
2046,2020,Anne Werninghaus,1.4,37.0,Brazil,Industrial machinery,Manufacturing
2047,2020,Zhou Chengjian,1.4,57.0,China,Fashion retail,Fashion & Retail
2048,2020,John Bloor,1.4,79.0,United Kingdom,"Real estate, manufacturing",Diversified
2049,2020,Rajinder Gupta,1.4,64.0,India,"Textiles, paper",Manufacturing
2050,2020,Sebastian Kulczyk,1.4,42.0,Poland,Diversified,Finance & Investments
2051,2020,Liu Fangyi,1.4,53.0,China,Medical equipment,Healthcare
2052,2020,Vadim Novinsky,1.4,59.0,Ukraine,Steel,Metals & Mining
2053,2020,Carlos Sanchez,1.4,61.0,Brazil,Generic drugs,Healthcare
2054,2020,Werner O. Weber,1.4,84.0,Switzerland,Electronic components,Manufacturing
2055,2020,Zhong Sheng Jian,1.4,65.0,Singapore,Real estate,Real Estate
2056,2020,Girdhari Lal Bawri,1.4,75.0,India,Pharmaceuticals,Healthcare
2057,2020,Guan Yihong,1.4,53.0,China,Restaurant,Food & Beverage
2058,2020,Hemendra Kothari,1.4,76.0,India,Financial services,Finance & Investments
2059,2020,Jenny Lindén Urnes,1.4,52.0,Sweden,Powdered metal,Manufacturing
2061,2020,Igor Rybakov,1.4,50.0,Russia,Building materials,Manufacturing
2062,2020,Wang Zelong,1.4,26.0,China,Chemicals,Metals & Mining
2063,2020,Zheng Jianjiang & family,1.4,62.0,China,Electrical equipment,Manufacturing
2064,2020,Binny Bansal,1.4,40.0,India,Flipkart,Technology
2065,2020,Lance Gokongwei,1.4,55.0,Philippines,Diversified,Diversified
2066,2020,Sergei Kolesnikov,1.4,51.0,Russia,Building materials,Manufacturing
2067,2020,William Li,1.4,48.0,China,Electric vehicles,Automotive
2068,2020,Marius Nacht,1.4,57.0,Israel,Software,Technology
2069,2020,Subhash Runwal,1.4,79.0,India,Real estate,Real Estate
2070,2020,Wang Yanqing & family,1.4,76.0,China,Carbon fiber products,Manufacturing
2071,2020,Xinghai Zhang & family,1.4,60.0,China,Machinery,Manufacturing
2072,2020,Nigel Austin,1.4,52.0,Australia,Retail,Fashion & Retail
2073,2020,Ali Ghodsi,1.4,44.0,Sweden,Data analytics,Technology
2074,2020,Koh Wee Meng,1.4,59.0,Singapore,"Real estate, hotels",Real Estate
2076,2020,Yoshiko Mori,1.4,82.0,Japan,Real estate,Real Estate
2077,2020,Boris Rotenberg,1.4,66.0,Russia,"Construction, pipes, chemicals",Construction & Engineering
2078,2020,Shuifu Wang,1.4,68.0,China,Manufacturing,Manufacturing
2079,2020,Zhang Xin,1.4,57.0,China,Real estate,Real Estate
2080,2020,Alberto Alcocer,1.4,80.0,Spain,Investments,Finance & Investments
2081,2020,Reinold Geiger,1.4,75.0,Austria,Beauty products,Fashion & Retail
2082,2020,Kim Taek-jin,1.4,56.0,South Korea,Online games,Media & Entertainment
2083,2020,Bernard Lewis & family,1.4,97.0,United Kingdom,Fashion retailer,Fashion & Retail
2084,2020,Miao Yongjun,1.4,55.0,China,Clinical diagnostics,Healthcare
2085,2020,Rihanna,1.4,35.0,Barbados,"Music, cosmetics",Fashion & Retail
2086,2020,Wang Jilei,1.4,58.0,China,Logistics,Logistics
2087,2020,Zhang Keqiang,1.4,62.0,China,Real estate,Real Estate
2088,2020,Antti Aarnio-Wihuri,1.4,83.0,Finland,Diversified,Diversified
2089,2020,J. Christopher Flowers,1.4,65.0,United States,Investments,Finance & Investments
2090,2020,Ke Zunhong & family,1.4,68.0,China,Pharmaceuticals,Healthcare
2091,2020,Manfredi Lefebvre d'Ovidio & family,1.4,69.0,Italy,Cruises,Service
2092,2020,Miao Shouliang,1.4,68.0,China,Real estate,Real Estate
2093,2020,Mochtar Riady & family,1.4,93.0,Indonesia,Diversified,Diversified
2094,2020,Jianyi Wang,1.4,60.0,China,Fiber optic cables,Technology
2095,2020,Zhang Chuanwei & family,1.4,60.0,China,Machinery,Manufacturing
2096,2020,John Farber,1.4,97.0,United States,Chemicals,Manufacturing
2097,2020,Rameshchandra Jain,1.4,74.0,India,Textiles,Manufacturing
2098,2020,Michael Lee-Chin,1.4,72.0,Canada,Mutual funds,Finance & Investments
2099,2020,Deepak Mehta,1.4,66.0,India,Chemicals,Manufacturing
2100,2020,M.Satyanarayana Reddy,1.4,65.0,India,Pharmaceuticals,Healthcare
2101,2020,Wilma Tisch,1.4,95.0,United States,Diversified,Finance & Investments
2102,2020,Yuan Liping,1.4,52.0,Canada,Pharmaceuticals,Healthcare
2103,2020,Chris Ellison,1.4,65.0,Australia,Mining,Metals & Mining
2104,2020,Huang Jinxiang & family,1.4,58.0,China,Chemicals,Manufacturing
2105,2020,Lee Ho-jin,1.4,60.0,South Korea,Diversified,Diversified
2106,2020,David McMurtry,1.4,82.0,United Kingdom,Manufacturing,Manufacturing
2107,2020,Qin Long,1.4,57.0,China,Tire,Manufacturing
2108,2020,Dilip Surana,1.4,57.0,India,Pharmaceuticals,Healthcare
2109,2020,Yu Peidi,1.4,63.0,Hong Kong,Real estate,Real Estate
2110,2020,Cai Jianyong,1.4,52.0,China,Nickel,Metals & Mining
2111,2020,Alfredo Harp Helu & family,1.4,79.0,Mexico,"Banking, investments",Finance & Investments
2112,2020,Kwee Liong Seen,1.4,70.0,Singapore,Real estate,Real Estate
2113,2020,Anatoly Lomakin,1.4,70.0,Russia,Investments,Metals & Mining
2114,2020,Pan Longquan,1.4,58.0,China,Manufacturing,Manufacturing
2115,2020,Radik Shaimiev,1.4,58.0,Russia,"Refinery, chemicals",Energy
2116,2020,Bo Wu,1.4,68.0,China,Machinery,Manufacturing
2117,2020,Amit Burman,1.4,53.0,India,Consumer goods,Food & Beverage
2118,2020,Ayman Hariri,1.4,44.0,Lebanon,"Construction, investments",Construction & Engineering
2119,2020,Kwee Liong Phing,1.4,65.0,Singapore,Real estate,Real Estate
2120,2020,Liu Ming Chung,1.4,60.0,Brazil,Paper,Manufacturing
2121,2020,Gretel Packer,1.4,57.0,Australia,Investments,Finance & Investments
2122,2020,Airat Shaimiev,1.4,61.0,Russia,"Refinery, chemicals",Energy
2123,2020,"Alfred West, Jr.",1.4,80.0,United States,Money management,Finance & Investments
2124,2020,Boris Zingarevich,1.4,63.0,Russia,"Pulp and paper, diversified",Diversified
2125,2020,Steve Case,1.4,64.0,United States,AOL,Technology
2126,2020,He Xiaopeng,1.4,45.0,China,Electric vehicles,Automotive
2127,2020,Kwee Liong Tek,1.4,76.0,Singapore,Real estate,Real Estate
2128,2020,Brandt Louie,1.4,79.0,Canada,Drugstores,Food & Beverage
2129,2020,Pan Shiyi,1.4,60.0,China,Real estate,Real Estate
2130,2020,Nobutoshi Shimamura,1.4,97.0,Japan,Retail,Fashion & Retail
2131,2020,Wu Chaoqun,1.4,53.0,China,Chemicals,Manufacturing
2132,2133,Rajendra Agarwal,1.3,64.0,India,Pharmaceuticals,Healthcare
2133,2133,Chang Jianming & family,1.3,58.0,China,Industrial equipment,Manufacturing
2134,2133,Keiko Erikawa,1.3,74.0,Japan,Video games,Media & Entertainment
2135,2133,Conni Jonsson,1.3,62.0,Sweden,Asset management,Finance & Investments
2136,2133,Fengluan Li,1.3,61.0,China,"Steel, diversified",Diversified
2137,2133,Lv Jianming,1.3,58.0,Hong Kong,Medical equipment,Healthcare
2138,2133,Devi Shetty,1.3,70.0,India,Healthcare,Healthcare
2139,2133,Junjin Wang,1.3,54.0,China,Airline,Service
2140,2133,Chirayu Amin,1.3,76.0,India,Pharmaceuticals,Healthcare
2141,2133,Richard Chang,1.3,76.0,Taiwan,"Real estate, electronics",Real Estate
2142,2133,Yoichi Erikawa,1.3,72.0,Japan,Video games,Media & Entertainment
2143,2133,George Joseph,1.3,101.0,United States,Insurance,Finance & Investments
2144,2133,Li Yongqing,1.3,58.0,China,Petro Firbe,Manufacturing
2145,2133,Blairo Maggi,1.3,66.0,Brazil,Agribusiness,Food & Beverage
2146,2133,George Pedersen & family,1.3,87.0,United States,Defense contractor,Manufacturing
2147,2133,Albert Shigaboutdinov,1.3,70.0,Russia,"Refinery, chemicals",Diversified
2148,2133,Wang Mingwang,1.3,55.0,China,Electronics components,Manufacturing
2149,2133,Anant Asavabhokhin,1.3,72.0,Thailand,Real estate,Real Estate
2150,2133,Chen Xuehua,1.3,62.0,China,Minerals processing,Metals & Mining
2151,2133,Philip Fayer,1.3,45.0,Canada,Online payments,Finance & Investments
2152,2133,Laurent Junique,1.3,57.0,France,Call centers,Technology
2153,2133,Li Zhigang,1.3,46.0,China,Machinery,Manufacturing
2154,2133,Yasseen Mansour,1.3,61.0,Egypt,Diversified,Diversified
2155,2133,Qu Miranda,1.3,38.0,China,E-commerce,Fashion & Retail
2157,2133,Wei Lidong & family,1.3,47.0,China,Software,Technology
2158,2133,Shyam Bhartia,1.3,70.0,India,"Pharmaceuticals, food",Healthcare
2159,2133,Annalisa Doris,1.3,52.0,Italy,Financial services,Finance & Investments
2160,2133,Mitchell Jacobson,1.3,72.0,United States,Industrial equipment,Service
2161,2133,Gary Lauder,1.3,60.0,United States,Estée Lauder,Fashion & Retail
2162,2133,Nguyen Dang Quang,1.3,59.0,Vietnam,"Consumer products, banking",Food & Beverage
2163,2133,Nobutada Saji,1.3,77.0,Japan,Beverages,Food & Beverage
2164,2133,Robert Toennies,1.3,44.0,Germany,Meat processing,Food & Beverage
2165,2133,Zhao Tongtong,1.3,56.0,Canada,Hotels,Service
2166,2133,Hari Bhartia,1.3,66.0,India,Diversified,Diversified
2167,2133,Aydin Dogan,1.3,86.0,Turkey,Media,Media & Entertainment
2168,2133,Gregg Hymowitz,1.3,57.0,United States,Asset management,Finance & Investments
2169,2133,Kristo Käärmann,1.3,42.0,Estonia,"Payments, banking",Finance & Investments
2170,2133,Randal Nardone,1.3,67.0,United States,"Investments, energy",Finance & Investments
2171,2133,Deniz Sahenk,1.3,77.0,Turkey,Diversified,Diversified
2172,2133,Clemens Toennies,1.3,66.0,Germany,Meat processing,Food & Beverage
2173,2133,Peng Zhao,1.3,52.0,China,Online recruitment,Service
2174,2133,Othman Benjelloun & family,1.3,90.0,Morocco,"Banking, insurance",Finance & Investments
2175,2133,Anand Deshpande,1.3,60.0,India,Technology,Technology
2177,2133,Eduard Kucera,1.3,70.0,Czech Republic,Software,Technology
2178,2133,Jahm Najafi,1.3,60.0,United States,Investments,Finance & Investments
2179,2133,Seifeddin Rustamov,1.3,60.0,Russia,Chemicals,Manufacturing
2180,2133,Rustem Sulteev,1.3,69.0,Russia,"Refinery, chemicals",Energy
2181,2133,Zeng Chaoyi,1.3,54.0,China,Aluminum products,Manufacturing
2182,2133,Banwari Lal Bawri,1.3,70.0,India,Pharmaceuticals,Healthcare
2183,2133,Wenjun Dai,1.3,54.0,China,Food,Food & Beverage
2184,2133,Hoi Kin Hong,1.3,70.0,Macau,Real estate,Real Estate
2185,2133,Michael Krasny,1.3,69.0,United States,Retail,Technology
2186,2133,Martin Moller Nielsen,1.3,58.0,Denmark,Aircraft leasing,Logistics
2187,2133,Igor Rotenberg,1.3,49.0,Russia,"Investments, real estate",Diversified
2188,2133,Konstantin Strukov & family,1.3,64.0,Russia,"Gold, coal mining",Metals & Mining
2189,2133,Yan Jane & family,1.3,53.0,China,Software,Technology
2190,2133,Elena Baturina,1.3,60.0,Russia,"Investments, real estate",Construction & Engineering
2191,2133,Eduardo Costantini,1.3,76.0,Argentina,Real estate,Real Estate
2192,2133,Heikki Herlin,1.3,36.0,Finland,"Elevators, escalators",Manufacturing
2193,2133,Kagemasa Kozuki,1.3,82.0,Japan,Video games,Technology
2195,2133,Fernando Roig,1.3,75.0,Spain,Supermarkets,Fashion & Retail
2196,2133,Jennifer Steinbrenner Swindal,1.3,63.0,United States,Sports,Sports
2197,2133,Xu Shaochun,1.3,60.0,China,Software,Technology
2198,2133,Kiki Barki,1.3,83.0,Indonesia,Coal,Energy
2199,2133,Alberto Cortina,1.3,77.0,Spain,Investments,Finance & Investments
2200,2133,He Zhiping,1.3,59.0,China,Investments,Finance & Investments
2201,2133,Seth Klarman,1.3,65.0,United States,Investments,Finance & Investments
2202,2133,Carsten Maschmeyer,1.3,63.0,Germany,Finance services,Finance & Investments
2203,2133,Satish Reddy,1.3,55.0,India,Pharmaceuticals,Healthcare
2204,2133,Jessica Steinbrenner,1.3,59.0,United States,Sports,Sports
2205,2133,Xiong Xiaochuan,1.3,57.0,China,Medical devices,Healthcare
2206,2133,Sachin Bansal,1.3,41.0,India,Flipkart,Fashion & Retail
2207,2133,R. Marcelo Claure,1.3,52.0,United States,Cell phone distribution,Telecom
2208,2133,Joel Greenberg,1.3,65.0,United States,"Trading, investments",Finance & Investments
2209,2133,Joe Kiani,1.3,58.0,United States,Medical devices,Healthcare
2210,2133,Lu Hongyan,1.3,45.0,China,Online games,Media & Entertainment
2211,2133,Yves-Loic Martin,1.3,57.0,France,Laboratory services,Healthcare
2212,2133,P.V. Ramprasad Reddy,1.3,65.0,India,Pharmaceuticals,Healthcare
2213,2133,Hal Steinbrenner,1.3,54.0,United States,Sports,Sports
2214,2133,Wu Xushun & family,1.3,74.0,China,Internet,Diversified
2215,2133,Ziv Aviram,1.3,64.0,Israel,Automotive technology,Automotive
2216,2133,Chin Jong Hwa,1.3,64.0,Taiwan,Auto parts,Automotive
2217,2133,Simona Giorgetta,1.3,45.0,Italy,Chemical products,Construction & Engineering
2218,2133,Alexander Karp,1.3,55.0,United States,Software firm,Technology
2219,2133,Itamar Locks & family,1.3,68.0,Brazil,Agribusiness,Food & Beverage
2220,2133,George Marcus,1.3,81.0,United States,Real estate,Real Estate
2221,2133,G. M. Rao,1.3,72.0,India,Infrastructure,Logistics
2222,2133,Fei Song,1.3,56.0,China,Machinery,Manufacturing
2223,2133,Wu Xiaoge,1.3,50.0,China,Battery components,Manufacturing
2224,2133,Roman Avdeev,1.3,55.0,Russia,"Banking, development",Finance & Investments
2225,2133,Chen Yin,1.3,50.0,China,Power tools,Manufacturing
2226,2133,Marvy Finger,1.3,87.0,United States,Real estate,Real Estate
2227,2133,Zbigniew Juroszek & family,1.3,60.0,Poland,"Real estate, gambling",Diversified
2228,2133,Liu Gexin & family,1.3,71.0,China,Pharmaceuticals,Healthcare
2230,2133,Jupally Rameshwar Rao,1.3,67.0,India,Real estate,Real Estate
2231,2133,Denis Shtengelov,1.3,50.0,Russia,"Food, retail",Food & Beverage
2232,2133,Myron Wentz,1.3,83.0,St. Kitts and Nevis,Health products,Fashion & Retail
2233,2133,A. Jayson Adair,1.3,53.0,United States,Damaged cars,Automotive
2234,2133,Cai Mingtong,1.3,71.0,China,Electronic components,Technology
2235,2133,Weimin Du,1.3,59.0,China,Vaccines,Healthcare
2236,2133,Jiang Guiting & family,1.3,64.0,China,Manufacturing,Manufacturing
2237,2133,Art Levinson,1.3,73.0,United States,"Genentech, Apple",Diversified
2238,2133,John Oyler,1.3,55.0,United States,Biotech,Healthcare
2239,2133,James Scapa,1.3,66.0,United States,Software,Technology
2240,2133,Pongsak Viddayakorn,1.3,89.0,Thailand,Hospitals,Healthcare
2242,2133,Stewart Butterfield,1.3,50.0,Canada,Messaging software,Technology
2243,2133,Massimo Doris,1.3,55.0,Italy,Financial services,Finance & Investments
2244,2133,Anurang Jain,1.3,61.0,India,Auto parts,Manufacturing
2245,2133,Lee Hae-jin,1.3,55.0,South Korea,Internet,Technology
2246,2133,Kazuo Okada,1.3,80.0,Japan,Casinos,Gambling & Casinos
2247,2133,Hajime Satomi,1.3,81.0,Japan,"Video games, pachinko",Gambling & Casinos
2248,2133,John Van Lieshout,1.3,77.0,Australia,Real estate,Real Estate
2249,2133,Kostyantin Zhevago,1.3,49.0,Ukraine,Mining,Metals & Mining
2250,2133,Soegiarto Adikoesoemo,1.3,85.0,Indonesia,Chemicals,Logistics
2251,2133,Anthony Casalena,1.3,40.0,United States,Software,Technology
2252,2133,Timothy Dunn & family,1.3,67.0,United States,Energy,Energy
2253,2133,Jin Xin,1.3,56.0,China,Manufacturing,Manufacturing
2254,2133,Li Denghai,1.3,73.0,China,Seed production,Food & Beverage
2256,2133,Stephan Schnabel,1.3,48.0,Germany,Chemicals,Manufacturing
2257,2133,Wang Jianguo,1.3,63.0,China,Retail,Fashion & Retail
2258,2259,Hamad bin Jassim bin Jaber Al Thani,1.2,63.0,Qatar,Investments,Finance & Investments
2259,2259,Chen Xianbao & family,1.2,63.0,China,Food,Food & Beverage
2260,2259,Zsolt Felcsuti,1.2,51.0,Hungary,Manufacturing,Manufacturing
2261,2259,Mohammed Ibrahim,1.2,76.0,United Kingdom,Communications,Telecom
2262,2259,Zhen Li & family,1.2,59.0,China,Lithium batteries,Manufacturing
2263,2259,Neide Helena de Moraes,1.2,68.0,Brazil,Diversified,Diversified
2264,2259,Bennett Rosenthal,1.2,59.0,United States,Finance,Finance & Investments
2265,2259,Veronica Squinzi,1.2,51.0,Italy,Chemical products,Construction & Engineering
2267,2259,Xu Yuejuan,1.2,61.0,China,Petro Fibre,Manufacturing
2268,2259,Zhang Yin,1.2,66.0,China,Paper manufacturing,Manufacturing
2269,2259,Joao Alves de Queiroz Filho,1.2,70.0,Brazil,Pharmaceuticals,Diversified
2270,2259,Cheng Xianfeng,1.2,54.0,China,Pharmaceuticals,Healthcare
2271,2259,Ben Francis,1.2,30.0,United Kingdom,Fitness clothing,Fashion & Retail
2272,2259,Shirley Kao,1.2,66.0,Taiwan,Food & beverage retailing,Food & Beverage
2273,2259,Guangwei Liang,1.2,59.0,China,Conglomerate,Manufacturing
2274,2259,Scott Nuttall,1.2,50.0,United States,Private equity,Finance & Investments
2275,2259,Atul Ruia,1.2,52.0,India,Real estate,Real Estate
2276,2259,Michael Steinhardt,1.2,82.0,United States,Hedge funds,Finance & Investments
2277,2259,Wang Shih-Chung,1.2,61.0,Taiwan,Pneumatic equipments,Manufacturing
2278,2259,Vadim Yakunin,1.2,60.0,Russia,Pharmacy,Healthcare
2279,2259,Ning Zhao,1.2,56.0,United States,Pharmaceuticals,Healthcare
2280,2259,Jose Maria Aristrain,1.2,60.0,Spain,Steel,Metals & Mining
2281,2259,Chung Yong-jin,1.2,54.0,South Korea,Retail,Fashion & Retail
2282,2259,Gary Friedman,1.2,65.0,United States,Furniture retail,Fashion & Retail
2283,2259,David Kaplan,1.2,55.0,United States,Finance,Finance & Investments
2284,2259,Liu Ming Hui,1.2,60.0,China,Natural gas distribution,Energy
2285,2259,Kailashchandra Nuwal,1.2,65.0,India,Industrial explosives,Manufacturing
2286,2259,Thomas Sandell,1.2,62.0,Sweden,Hedge funds,Finance & Investments
2287,2259,Ion Stoica,1.2,58.0,Romania,Data analytics,Technology
2288,2259,Wang Xiaoshen,1.2,54.0,China,Lithium,Manufacturing
2289,2259,Yang Yunyun,1.2,46.0,China,Retail,Fashion & Retail
2290,2259,Zhou Wen & family,1.2,58.0,China,Chemicals,Manufacturing
2291,2259,Bernhard Braun-Luedicke,1.2,46.0,Germany,Medical technology,Healthcare
2292,2259,Jose Roberto Ermirio de Moraes,1.2,65.0,Brazil,Diversified,Diversified
2293,2259,Orion Hindawi,1.2,43.0,United States,Software,Technology
2294,2259,Lee Su-jin,1.2,45.0,South Korea,Hospitality,Technology
2295,2259,Lorinc Meszaros,1.2,57.0,Hungary,Diversified,Diversified
2296,2259,Qian Ying,1.2,57.0,China,Pig breeding,Food & Beverage
2297,2259,Edwin Soeryadjaya,1.2,73.0,Indonesia,"Coal, investments",Energy
2298,2259,Ruben Vardanyan & family,1.2,54.0,Armenia,Investment banking,Finance & Investments
2299,2259,Wenbo Xiang,1.2,60.0,China,Manufacturing,Manufacturing
2300,2259,Thomas Bailey,1.2,86.0,United States,Money management,Finance & Investments
2301,2259,Farhad Ebrahimi,1.2,84.0,United States,Solar panels,Manufacturing
2302,2259,Michael Heine,1.2,73.0,Australia,Financial services,Finance & Investments
2303,2259,Guy Laliberté,1.2,63.0,Canada,Cirque du Soleil,Media & Entertainment
2304,2259,Jorge Mas,1.2,60.0,United States,Construction,Construction & Engineering
2305,2259,Forrest Preston,1.2,90.0,United States,Health care,Healthcare
2306,2259,Konstantin Sixt,1.2,40.0,Germany,Car rentals,Automotive
2307,2259,Joop van den Ende,1.2,81.0,Netherlands,TV shows,Media & Entertainment
2308,2259,Xia Xinde,1.2,58.0,China,Batteries,Manufacturing
2309,2259,Bai Houshan,1.2,59.0,China,Lithium battery,Energy
2310,2259,Mathias Doepfner,1.2,60.0,Germany,Media,Media & Entertainment
2311,2259,Richard Hayne,1.2,75.0,United States,Urban Outfitters,Fashion & Retail
2312,2259,Suresh Krishna,1.2,86.0,India,Auto parts,Automotive
2313,2259,Mao Zhongwu,1.2,60.0,China,Manufacturing,Manufacturing
2314,2259,Murdaya Poo,1.2,82.0,Indonesia,Diversified,Diversified
2315,2259,Alexander Sixt,1.2,43.0,Germany,Car rentals,Automotive
2316,2259,Ching Bor Tung,1.2,60.0,China,Manufacturing,Manufacturing
2317,2259,Wu Yonghua,1.2,52.0,China,Apparel,Fashion & Retail
2318,2259,Sharon Azrieli,1.2,62.0,Canada,Real estate,Real Estate
2319,2259,Sefik Yilmaz Dizdar,1.2,85.0,Turkey,Fashion retail,Fashion & Retail
2320,2259,Fahed Hariri,1.2,42.0,Lebanon,"Construction, investments",Construction & Engineering
2322,2259,Keshub Mahindra,1.2,99.0,India,Diversified,Diversified
2323,2259,Mark Pincus,1.2,57.0,United States,Online games,Technology
2324,2259,Sytse 'Sid' Sijbrandij,1.2,43.0,Netherlands,Software,Technology
2325,2259,Lina Tombolato,1.2,75.0,Italy,Financial services,Finance & Investments
2326,2259,Eugene Wu,1.2,77.0,Taiwan,Finance,Finance & Investments
2327,2259,Naomi Azrieli,1.2,57.0,Canada,Real estate,Real Estate
2328,2259,Ding Shui Po,1.2,52.0,China,"Sneakers, sportswear",Fashion & Retail
2329,2259,Anthony Hall,1.2,67.0,Australia,Technology,Technology
2331,2259,William MacMillan,1.2,68.0,United States,Cargill,Food & Beverage
2332,2259,Markus Persson,1.2,43.0,Sweden,Computer games,Media & Entertainment
2333,2259,Eric Ya Shen,1.2,52.0,China,Online apparel retail,Technology
2334,2259,Sam Tarascio,1.2,78.0,Australia,Real estate,Real Estate
2335,2259,Wu Chung-yi,1.2,67.0,Taiwan,Manufacturing,Manufacturing
2336,2259,Danna Azrieli,1.2,55.0,Israel,Real estate,Real Estate
2337,2259,Richard Desmond,1.2,71.0,United Kingdom,Publishing,Media & Entertainment
2338,2259,Saroj Rani Gupta,1.2,72.0,India,Steel tubes,Manufacturing
2339,2259,Alexander Klyachin,1.2,55.0,Russia,Real estate,Real Estate
2340,2259,Martha MacMillan,1.2,71.0,United States,Cargill,Food & Beverage
2341,2259,Jose Isaac Peres & family,1.2,82.0,Brazil,Shopping malls,Real Estate
2342,2259,Antonio Luiz Seabra,1.2,80.0,Brazil,Cosmetics,Fashion & Retail
2343,2259,Xiuguo Tang,1.2,59.0,China,Manufacturing,Manufacturing
2344,2259,Tyler Winklevoss,1.2,41.0,United States,Cryptocurrency,Finance & Investments
2345,2259,Mehmet Aydinlar,1.2,66.0,Turkey,Hospitals,Healthcare
2346,2259,Ashwin Desai,1.2,71.0,India,Specialty chemicals,Manufacturing
2347,2259,Lawrence Golub,1.2,63.0,United States,Private equity,Finance & Investments
2348,2259,Ke Yunfeng & family,1.2,56.0,China,Retailing,Healthcare
2349,2259,John MacMillan,1.2,73.0,United States,Cargill,Food & Beverage
2350,2259,Vitaly Orlov,1.2,58.0,Russia,Fisheries,Food & Beverage
2351,2259,Gerald Schwartz,1.2,81.0,Canada,Finance,Finance & Investments
2352,2259,Tony Tan Caktiong,1.2,70.0,Philippines,Food,Food & Beverage
2353,2259,Cameron Winklevoss,1.2,41.0,United States,Cryptocurrency,Finance & Investments
2354,2259,Zhang Xuezheng,1.2,47.0,China,Telecom,Technology
2355,2259,Tope Awotona,1.2,41.0,United States,Software,Technology
2356,2259,Diego Della Valle,1.2,69.0,Italy,Shoes,Fashion & Retail
2357,2259,Balkrishan Goenka,1.2,56.0,India,Textiles,Manufacturing
2358,2259,Ke Guihua,1.2,57.0,China,Auto parts,Manufacturing
